Latitude,Longitude,tsoil
48.3,26.5,10.493298894513803
48.3,26.6,10.783887281743965
48.3,26.7,10.600515549127017
48.3,26.8,10.712535385886937
48.3,26.9,10.237938320074464
48.2,23.2,10.403967868581413
48.2,26.3,10.728678065915949
48.2,26.4,10.81079037090611
48.2,26.5,10.84668405827048
48.2,26.6,10.201478458518478
48.2,26.7,10.271269759272672
48.2,26.8,10.65182508523612
48.2,26.9,10.941407686744466
48.2,27.0,10.632528153734947
48.2,27.1,10.662485277404711
48.1,22.9,11.444274718462646
48.1,23.0,11.341199504081013
48.1,23.1,11.174607914040712
48.1,23.2,10.909803698729206
48.1,23.3,10.562375245376524
48.1,23.4,10.731687674346464
48.1,23.5,10.5349695216448
48.1,23.6,10.313685298067973
48.1,26.2,10.336917036884076
48.1,26.3,10.094719495815715
48.1,26.4,10.130835830147783
48.1,26.5,10.433806178324136
48.1,26.6,10.866112201673792
48.1,26.7,10.561589007128779
48.1,26.8,10.835376588490554
48.1,26.9,10.317721355511916
48.1,27.0,10.855705134827975
48.1,27.1,10.704227709474132
48.0,22.8,11.528832524021027
48.0,22.9,11.48003409443118
48.0,23.0,11.404551089988653
48.0,23.1,11.267901126149413
48.0,23.2,10.547857733236885
48.0,23.3,10.76589885318725
48.0,23.4,8.396836450046486
48.0,23.5,10.161738299411159
48.0,23.6,10.371296621551737
48.0,23.7,10.21192995144127
48.0,23.8,9.967491476392173
48.0,23.9,9.993150118813888
48.0,24.0,7.853468333505532
48.0,24.1,8.285720632296698
48.0,24.2,8.581986258911064
48.0,24.3,3.702418121706789
48.0,24.4,6.757168612459967
48.0,24.5,3.2443320590970175
48.0,24.6,4.790288769500989
48.0,24.7,4.343584047938855
48.0,25.3,5.8488934807314585
48.0,25.4,5.568237937803483
48.0,25.5,7.163823225539797
48.0,25.6,8.642124702965177
48.0,25.7,8.83796983159415
48.0,25.8,9.119768571133383
48.0,25.9,9.067804008678618
48.0,26.0,9.575475255708193
48.0,26.1,9.319019010228333
48.0,26.2,9.740769191032149
48.0,26.3,10.160645211282159
48.0,26.4,10.318066432482686
48.0,26.5,10.462379378034864
48.0,26.6,10.431652546750664
48.0,26.7,10.712818989565035
48.0,26.8,10.905121396838524
48.0,26.9,10.860489720012401
48.0,27.0,10.848993697696065
48.0,27.1,11.149161070358476
48.0,27.2,10.854101146812674
47.9,22.5,11.675484554189497
47.9,22.7,11.589530426696985
47.9,22.8,11.534320694286514
47.9,22.9,11.48294090298585
47.9,23.0,11.447985329062924
47.9,23.1,11.344460171505293
47.9,23.2,11.195784688500929
47.9,23.3,10.82895547060653
47.9,23.4,10.557189792333928
47.9,23.5,9.218561834900305
47.9,23.6,7.65531821469155
47.9,23.7,6.871227399524714
47.9,23.8,8.617164996383892
47.9,23.9,9.003073664634755
47.9,24.0,9.837216654613
47.9,24.1,7.056490856493442
47.9,24.2,5.988338671350337
47.9,24.3,3.014079450356452
47.9,24.4,6.461399421427827
47.9,24.5,5.409168302510613
47.9,24.6,5.439680235561522
47.9,24.7,2.192248166132861
47.9,24.8,3.113308709577439
47.9,25.2,5.820843062299862
47.9,25.3,5.267383510693241
47.9,25.4,5.285020663291642
47.9,25.5,7.836606054344502
47.9,25.6,8.268528257051385
47.9,25.7,8.680645211282204
47.9,25.8,8.955275854943677
47.9,25.9,9.20100940179774
47.9,26.0,9.227433102593187
47.9,26.1,9.379348073148009
47.9,26.2,9.756800805868412
47.9,26.3,9.558578882115823
47.9,26.4,10.406566794090274
47.9,26.5,10.663974067568988
47.9,26.6,10.805242277094733
47.9,26.7,10.939365120363725
47.9,26.8,10.98472466163865
47.9,26.9,10.91687054447774
47.9,27.0,11.113277198057688
47.9,27.1,10.778851120983566
47.9,27.2,11.21067362330808
47.9,27.3,10.891296621551822
47.8,22.2,11.551945448909981
47.8,22.3,11.566337948135123
47.8,22.4,11.700752143816564
47.8,22.5,11.689427110238682
47.8,22.6,11.646015600785262
47.8,22.7,11.587699659055673
47.8,22.8,11.5302825705135
47.8,22.9,11.52224713296828
47.8,23.0,11.479909598098939
47.8,23.1,11.392137617522472
47.8,23.2,11.291638082446577
47.8,23.3,11.074389399731329
47.8,23.4,10.060429279884225
47.8,23.5,8.022963632606688
47.8,23.6,6.647864448806685
47.8,23.7,6.058688914144023
47.8,23.8,5.908336605021186
47.8,23.9,9.233578365533615
47.8,24.0,8.956059510279939
47.8,24.1,7.726092571546637
47.8,24.2,8.672247649550531
47.8,24.3,8.866607087509076
47.8,24.4,6.220813617109228
47.8,24.5,5.236689224093374
47.8,24.6,3.0465518132038523
47.8,24.7,3.6900945345593525
47.8,24.8,3.6755511933050924
47.8,24.9,2.5304452939353324
47.8,25.0,3.17849209629093
47.8,25.1,4.857656266143187
47.8,25.2,5.705813100526913
47.8,25.3,6.264518028721964
47.8,25.4,5.809935943795872
47.8,25.5,6.004606880876117
47.8,25.6,7.21722233701827
47.8,25.7,7.379510279987625
47.8,25.8,8.645379171401943
47.8,25.9,8.965159107345759
47.8,26.0,9.446508936873713
47.8,26.1,9.025252608740644
47.8,26.2,8.708619175534603
47.8,26.3,9.746430416365303
47.8,26.4,9.739627544167785
47.8,26.5,10.633620208699206
47.8,26.6,10.752281227399477
47.8,26.7,10.94965750594061
47.8,26.8,10.803735406550262
47.8,26.9,10.877573612976551
47.8,27.0,11.237759066019194
47.8,27.1,11.104317594792821
47.8,27.2,11.349907015187597
47.8,27.3,10.865626614319616
47.7,22.2,11.569222027068918
47.7,22.3,11.607471846265115
47.7,22.4,11.613226572993144
47.7,22.5,11.66666907738395
47.7,22.6,11.655426696972832
47.7,22.7,11.61486827151569
47.7,22.8,11.561246513069534
47.7,22.9,11.52396528567001
47.7,23.0,11.453084512862912
47.7,23.1,11.350152908358247
47.7,23.2,11.281886041946429
47.7,23.3,11.126040913317507
47.7,23.4,10.683698212625274
47.7,23.5,9.834331542514702
47.7,23.6,8.803110341977481
47.7,23.7,8.68024899266452
47.7,23.8,6.052399008162005
47.7,23.9,7.167605124496331
47.7,24.0,6.055570823432207
47.7,24.1,8.291290939146586
47.7,24.2,8.487835003616084
47.7,24.3,8.059721562144883
47.7,24.4,8.457991011468103
47.7,24.5,6.950325446843677
47.7,24.6,5.1571593139787115
47.7,24.7,4.161712470296507
47.7,24.8,3.470596652546762
47.7,24.9,1.3616856080173512
47.7,25.0,2.964728794296934
47.7,25.1,4.352125219547491
47.7,25.2,5.011979543341244
47.7,25.3,4.836006302303974
47.7,25.4,6.112333402210978
47.7,25.5,6.732430519681787
47.7,25.6,6.9045330096084205
47.7,25.7,6.376895340427715
47.7,25.8,7.462872197541043
47.7,25.9,8.631491373075773
47.7,26.0,9.117055480938152
47.7,26.1,9.581139580535151
47.7,26.2,9.398924992251256
47.7,26.3,9.263352619072196
47.7,26.4,9.92963167682613
47.7,26.5,10.108242587044066
47.7,26.6,10.715619382167619
47.7,26.7,11.028408926541987
47.7,26.8,10.794413162516772
47.7,26.9,10.860647794193621
47.7,27.0,10.9561106519268
47.7,27.1,10.936259944209107
47.7,27.2,11.3550061989875
47.7,27.3,11.43267796259945
47.7,27.4,10.972561731583937
47.6,22.0,11.698223473499306
47.6,22.1,11.683109308812913
