Latitude,Longitude,tmed
48.3,26.5,8.990633846471649
48.3,26.6,9.409378551503272
48.3,26.7,9.168518958570129
48.3,26.8,9.332997727037956
48.3,26.9,8.704215828081438
48.2,23.2,8.947644901332795
48.2,26.3,9.285966525467435
48.2,26.4,9.365648310775851
48.2,26.5,9.424441574542865
48.2,26.6,8.669353755553264
48.2,26.7,8.749313462134468
48.2,26.8,9.177382477528651
48.2,26.9,9.465951027998779
48.2,27.0,9.09397613389812
48.2,27.1,9.155892137617522
48.1,22.9,9.798375865275329
48.1,23.0,9.75625684471533
48.1,23.1,9.724396115301207
48.1,23.2,9.543802045665887
48.1,23.3,9.215381237731197
48.1,23.4,9.45191187106107
48.1,23.5,9.237332369046435
48.1,23.6,9.06866256844718
48.1,26.2,8.951879842958995
48.1,26.3,8.589790267589601
48.1,26.4,8.601639632193425
48.1,26.5,8.964203946688754
48.1,26.6,9.484273685297998
48.1,26.7,9.075289802665594
48.1,26.8,9.407659365636935
48.1,26.9,8.67711127182566
48.1,27.0,9.296494472569501
48.1,27.1,9.113818059716921
48.0,22.8,9.883741605537828
48.0,22.9,9.833652753383584
48.0,23.0,9.785899369769595
48.0,23.1,9.771984192581868
48.0,23.2,9.018734889968005
48.0,23.3,9.537057547267263
48.0,23.4,7.373469883252375
48.0,23.5,9.00478096910839
48.0,23.6,9.332237834487062
48.0,23.7,9.170000516582338
48.0,23.8,8.895581155077988
48.0,23.9,8.975672073561308
48.0,24.0,6.872982746151422
48.0,24.1,7.522946068808755
48.0,24.2,8.306816819919442
48.0,24.3,3.870623514825917
48.0,24.4,6.808408926541989
48.0,24.5,3.485292902159325
48.0,24.6,5.0220988738506245
48.0,24.7,4.473227606157653
48.0,25.3,5.2649679718979785
48.0,25.4,4.972281227399512
48.0,25.5,6.200313048868702
48.0,25.6,7.494791817336496
48.0,25.7,7.477117987395397
48.0,25.8,7.675350242793718
48.0,25.9,7.511511003202823
48.0,26.0,8.194655439611523
48.0,26.1,7.906477425353812
48.0,26.2,8.344765988221962
48.0,26.3,8.80508162000207
48.0,26.4,8.912231118917262
48.0,26.5,9.019478768467854
48.0,26.6,8.928216757929594
48.0,26.7,9.21371009401796
48.0,26.8,9.431695939663173
48.0,26.9,9.321779625994436
48.0,27.0,9.252742535385993
48.0,27.1,9.62579192065292
48.0,27.2,9.26530994937495
47.9,22.5,10.04239849157976
47.9,22.7,9.974934394048946
47.9,22.8,9.931050211798766
47.9,22.9,9.837595826015066
47.9,23.0,9.831435065605927
47.9,23.1,9.782450149808913
47.9,23.2,9.778893997313826
47.9,23.3,9.580403450769648
47.9,23.4,9.622166546130787
47.9,23.5,7.836517202190296
47.9,23.6,6.468486930468025
47.9,23.7,6.425893170782106
47.9,23.8,7.721729000929869
47.9,23.9,7.980246926335359
47.9,24.0,8.808461101353409
47.9,24.1,6.17322502324617
47.9,24.2,5.471946482074614
47.9,24.3,3.4444560388470085
