Latitude,Longitude,tmax
48.3,26.5,13.9997163963219
48.3,26.6,14.521794606880908
48.3,26.7,14.183150635396116
48.3,26.8,14.386578675482973
48.3,26.9,13.69639167269347
48.2,23.2,14.502454282467117
48.2,26.3,14.477008471949611
48.2,26.4,14.534720012397996
48.2,26.5,14.580352825705178
48.2,26.6,13.58682818472987
48.2,26.7,13.638285463374322
48.2,26.8,14.179769087715636
48.2,26.9,14.824971071391552
48.2,27.0,14.265157041016609
48.2,27.1,14.355217481144743
48.1,22.9,15.55522109722088
48.1,23.0,15.512202190308866
48.1,23.1,15.489895133794866
48.1,23.2,15.239016427316852
48.1,23.3,14.845406550263572
48.1,23.4,15.261239280917472
48.1,23.5,14.964004545924281
48.1,23.6,14.742372145882852
48.1,26.2,14.156996073974561
48.1,26.3,13.684088232255375
48.1,26.4,13.620323380514433
48.1,26.5,13.993236904639016
48.1,26.6,14.666691290422548
48.1,26.7,14.077144849674486
48.1,26.8,14.51796776526493
48.1,26.9,13.684350656059557
48.1,27.0,14.559671453662595
48.1,27.1,14.217085959293302
48.0,22.8,15.585675173055035
48.0,22.9,15.56124444674043
48.0,23.0,15.529220993904321
48.0,23.1,15.521883975617289
48.0,23.2,14.483650170472139
48.0,23.3,15.199265936563759
48.0,23.4,12.235565657609287
48.0,23.5,14.492074077900622
48.0,23.6,15.050303750387462
48.0,23.7,14.921023349519604
48.0,23.8,14.567525570823314
48.0,23.9,14.665963425973716
48.0,24.0,12.010074904432438
48.0,24.1,12.82083324723633
48.0,24.2,13.943514825911695
48.0,24.3,8.064007128835664
48.0,24.4,12.228221407170182
48.0,24.5,7.6056875710300424
48.0,24.6,9.7448398594896
48.0,24.7,8.979297964665772
48.0,25.3,10.043169232358679
48.0,25.4,9.688916726934574
48.0,25.5,11.45834900299618
48.0,25.6,13.002912490959876
48.0,25.7,12.893959603264825
48.0,25.8,13.252553466267122
48.0,25.9,12.944292798842822
48.0,26.0,13.640812583944738
48.0,26.1,13.200509350139479
48.0,26.2,13.586188139270664
48.0,26.3,13.983010641595218
48.0,26.4,14.042045665874596
